ANT1,5.94,-14.80,270.00,2450AT18B100E_2450AT18B100E,2450AT18B100E_ANTC3216X140N
C1,9.20,3.96,90.00,12pF,NORDIC_NRF_3_RESC0201_L
C1-EP-DR,-14.83,-8.75,90.00,10uF,NORDIC_NRF_3_RESC0201_L
C10,10.77,4.30,180.00,N.C,NORDIC_NRF_3_RESC0201_L
C11,9.03,2.75,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C12,6.75,5.28,90.00,100nF,NORDIC_NRF_3_RESC0201_L
C13,5.00,5.05,90.00,N.C.,NORDIC_NRF_3_RESC0201_L
C14,5.85,-4.93,270.00,4.7µF,NORDIC_NRF_3_RESC0201_L
C15,10.75,2.68,90.00,1.0µF,NORDIC_NRF_3_RESC0201_L
C16,3.40,5.06,90.00,47nF,NORDIC_NRF_3_RESC0201_L
C17,-1.40,3.41,180.00,12µF,NORDIC_NRF_3_RESC0201_L
C18,-1.44,-2.40,90.00,12µF,NORDIC_NRF_3_RESC0201_L
C19,21.05,14.27,270.00,100uF,NORDIC_NRF_3_RESC0201_L
C2,8.01,4.90,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C2-EP-DR,-14.81,-10.47,0.00,4.7uF/25V,NORDIC_NRF_3_RESC0201_L
C20,2.55,-5.03,270.00,4.7µF,NORDIC_NRF_3_RESC0201_L
C21,1.45,-4.98,270.00,4.7µF,NORDIC_NRF_3_RESC0201_L
C22,10.93,-0.70,270.00,N.C.,NORDIC_NRF_3_RESC0201_L
C23,6.55,15.18,270.00,GRM011R60J152KE01L_2_GRM011R60J152KE01L,GRM011R60J152KE01L_2_CAPC0201X13N
C24,12.01,14.20,180.00,10uF,NORDIC_NRF_3_RESC0201_L
C25,6.54,16.60,180.00,22uF,NORDIC_NRF_3_RESC0201_L
C27,-10.95,15.96,270.00,GRM011R60J152KE01L_2_GRM011R60J152KE01L,GRM011R60J152KE01L_2_CAPC0201X13N
C29,13.06,-11.85,0.00,GRM011R60J152KE01L_2_GRM011R60J152KE01L,GRM011R60J152KE01L_2_CAPC0201X13N
C3,9.29,1.60,0.00,1pF,NORDIC_NRF_3_RESC0201_L
C30,-8.92,-11.85,0.00,GRM011R60J152KE01L_2_GRM011R60J152KE01L,GRM011R60J152KE01L_2_CAPC0201X13N
C31,2.10,-11.65,0.00,GRM011R60J152KE01L_2_GRM011R60J152KE01L,GRM011R60J152KE01L_2_CAPC0201X13N
C32,16.32,-8.15,0.00,GRM011R60J152KE01L_2_GRM011R60J152KE01L,GRM011R60J152KE01L_2_CAPC0201X13N
C33,12.79,16.80,270.00,22uF,NORDIC_NRF_3_RESC0201_L
C34,19.65,-11.54,270.00,GRM011R60J152KE01L_2_GRM011R60J152KE01L,GRM011R60J152KE01L_2_CAPC0201X13N
C37,-17.01,15.75,270.00,GRM011R60J152KE01L_2_GRM011R60J152KE01L,GRM011R60J152KE01L_2_CAPC0201X13N
C38,-17.85,8.97,0.00,GRM011R60J152KE01L_2_GRM011R60J152KE01L,GRM011R60J152KE01L_2_CAPC0201X13N
C39,-20.39,10.34,0.00,10µF,NORDIC_NRF_3_RESC0201_L
C4,11.00,1.11,90.00,1pF,NORDIC_NRF_3_RESC0201_L
C42,6.56,13.39,0.00,GRM011R60J152KE01L_2_GRM011R60J152KE01L,GRM011R60J152KE01L_2_CAPC0201X13N
C43,6.42,11.85,180.00,"4.7uF ",NORDIC_NRF_3_RESC0201_L
C5,-0.77,5.15,0.00,100µF,NORDIC_NRF_3_RESC0201_L
C6,-0.35,-3.58,270.00,4.7µF,NORDIC_NRF_3_RESC0201_L
C7,4.25,-5.08,270.00,100µF,NORDIC_NRF_3_RESC0201_L
C8,7.85,-4.93,270.00,100µF,NORDIC_NRF_3_RESC0201_L
C9,8.78,-0.95,0.00,820pF,NORDIC_NRF_3_RESC0201_L
D2,-5.01,-8.36,180.00,ESP32_C6_LIBRARY_5_MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D3,-7.94,10.07,0.00,ESP32_C6_LIBRARY_3_USBLC6-2SC6Y,ESP32_C6_LIBRARY_3_SOT95P280X145-6N
D4,-4.84,-14.74,90.00,ESP32_C6_LIBRARY_5_MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D5,-10.68,-9.64,180.00,ESP32_C6_LIBRARY_5_MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
EPD_C1,-9.42,5.07,180.00,"1uF/50V ",NORDIC_NRF_3_RESC0201_L
EPD_C10,-9.13,-4.23,180.00,"1uF/50V ",NORDIC_NRF_3_RESC0201_L
EPD_C11,-9.19,-5.17,0.00,"1uF/50V ",NORDIC_NRF_3_RESC0201_L
EPD_C12,-9.17,-6.23,180.00,"1uF/50V ",NORDIC_NRF_3_RESC0201_L
EPD_C2,-9.43,6.07,180.00,"1uF/50V ",NORDIC_NRF_3_RESC0201_L
EPD_C5,-9.41,3.97,180.00,"0.1uF/50V ",NORDIC_NRF_3_RESC0201_L
EPD_C6,-9.35,2.75,180.00,"1uF/50V ",NORDIC_NRF_3_RESC0201_L
EPD_C7,-9.06,-1.05,180.00,"1uF/50V ",NORDIC_NRF_3_RESC0201_L
EPD_C8,-9.05,-2.23,180.00,"1uF/50V ",NORDIC_NRF_3_RESC0201_L
EPD_C9,-9.08,-3.25,180.00,"1uF/50V ",NORDIC_NRF_3_RESC0201_L
IC1,-15.37,12.77,180.00,BQ25180YBGR_BQ25180YBGR,BQ25180YBGR_BGA8C40P2X4_100X155X50
IC2,16.60,-11.57,0.00,DRV2605YZFR_DRV2605YZFR,DRV2605YZFR_BGA9C50P3X3_144X144X62
IC3,17.22,12.00,180.00,BMA423_BMA423,BMA423_BMA423
IC9,9.17,14.44,180.00,RT6160AWSC_RT6160AWSC,RT6160AWSC_BGA15C40P3X5_140X230X60
J1,-13.20,0.00,270.00,503480-2400_503480-2400,503480-2400_5034802400
J2,18.50,-1.67,90.00,TC2030-IDC_TC2030-IDC,TC2030-IDC_TC2030IDC
J4,0.05,14.06,180.00,KH-TYPE-C-16P_KH-TYPE-C-16P,KH-TYPE-C-16P_KINGHELM_KH-TYPE-C-16P
L1,9.06,0.45,0.00,3.9nH,NORDIC_NRF_2_RESC0402_L
L2,0.65,5.33,90.00,10µH,NORDIC_NRF_2_RESC0402_L
L3,2.30,5.31,270.00,15nH,NORDIC_NRF_2_RESC0402_L
L5,-19.13,-9.82,0.00,ESP32_C6_LIBRARY_2_744043680IND_4828-WE-TPC_WRE,ESP32_C6_LIBRARY_2_IND_4828-WE-TPC_WRE
L7,8.84,10.44,0.00,MLP2016SR47MT0S1_FTC252012SR47MBCA,MLP2016SR47MT0S1_INDC2016X100N
Q1,-5.25,-3.19,90.00,20V/4.2A/52mΩ/1.4W,ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
Q3,-14.71,-15.29,270.00,ESP32_C6_LIBRARY_6_SI1308EDL-T1-GE3,ESP32_C6_LIBRARY_6_SOT65P210X110-3N
R17,12.89,12.62,270.00,ERA-1AEB3401C_CPF0201D7K68C1,ERA-1AEB3401C_0201
R18,11.76,9.81,180.00,ERA-1AEB3401C_CPF0201D7K68C1,ERA-1AEB3401C_0201
R1_EP_DR,-15.48,-12.21,0.00,ERA-1AEB3401C_CPF0201D7K68C1,ERA-1AEB3401C_0201
R1_USB,1.72,9.91,180.00,ERA-1AEB3401C_CPF0201D7K68C1,ERA-1AEB3401C_0201
R2,11.94,15.59,0.00,ERA-1AEB3401C_CPF0201D7K68C1,ERA-1AEB3401C_0201
R2_EP_DR1,-13.70,-12.61,0.00,ERA-1AEB3401C_CPF0201D7K68C1,ERA-1AEB3401C_0201
R2_USB,-1.24,9.99,0.00,ERA-1AEB3401C_CPF0201D7K68C1,ERA-1AEB3401C_0201
R3,21.01,12.12,180.00,ERA-1AEB3401C_CPF0201D7K68C1,ERA-1AEB3401C_0201
R4,11.32,11.41,180.00,ERA-1AEB3401C_CPF0201D7K68C1,ERA-1AEB3401C_0201
R5,-11.66,-12.11,0.00,ERA-1AEB3401C_CPF0201D7K68C1,ERA-1AEB3401C_0201
R7,10.10,-12.01,0.00,ERA-1AEB3401C_CPF0201D7K68C1,ERA-1AEB3401C_0201
R8,-1.04,-12.01,0.00,ERA-1AEB3401C_CPF0201D7K68C1,ERA-1AEB3401C_0201
R9,-13.91,15.96,90.00,ERA-1AEB3401C_CPF0201D7K68C1,ERA-1AEB3401C_0201
R_PWR_EPD,-2.50,-4.79,180.00,ERA-1AEB3401C_CPF0201D7K68C1,ERA-1AEB3401C_0201
R_TYPE_SEL,-20.57,-13.71,0.00,ERA-1AEB3401C_CPF0201D7K68C1,ERA-1AEB3401C_0201
SJ1,-17.96,-14.51,270.00,,ESP32_C6_LIBRARY_7_JUMPER_SJ
SW_DN,11.50,-14.13,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_ENT,0.52,-14.04,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_UP,-10.48,-14.04,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
TP_3.3V,14.82,5.88,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_3V3,-0.48,-8.72,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_BAT_GND,-13.84,9.53,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_GND,21.31,8.78,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_ON,17.20,-15.12,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_OP,21.48,-8.52,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_RESET,17.91,5.98,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SCL,18.34,8.98,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SDA,17.63,16.08,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDCLK,20.86,5.93,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDIO,12.04,-3.42,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWO,12.00,-6.02,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VBAT,-19.21,13.78,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VREG,15.05,15.08,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
U1,4.33,0.12,0.00,NORDIC_NRF_4_NRF52840_QF,NORDIC_NRF_4_AQFN50P700X700X85_HS-74N
